Name,OAID#link#multi,Affiliation#sortquan,City#sortquan,Region#sortquan,Country#sortquan,Latitude#hidden,Longitude#hidden,Collaborators#multi#link#sortquan,Scope#multi#sortquan,Keywords#multi#sortquan,OA concepts#multi#sortquan,Publications#hidden,Publication Dates#multi#sortquan,#img,#netvis,nerPerson#multi,nerPopulation Group#multi,nerFacility#multi,nerOrganization#multi,nerAdministrative Area#multi,nerLocation#multi,nerProduct#multi,nerEvent#multi,nerWork of Art#multi,nerLegal Document#multi,nerLanguage#multi,nerDate#multi
A Olioso,https://openalex.org/A4227955457,Unknown,,,,,,https://openalex.org/A4227955454|https://openalex.org/A4227955461|https://openalex.org/A4227955455|https://openalex.org/A4227955463|https://openalex.org/A4227955453|https://openalex.org/A4227955464|https://openalex.org/A4227955456|https://openalex.org/A4227955462|https://openalex.org/A4227955460|https://openalex.org/A4227955459|https://openalex.org/A4227955452|https://openalex.org/A4227955458,aquifer|transboundary,,Groundwater|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer|Environmental science|Computer science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A4227955457"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2021,US,02ac504b6e11517e2110d174ea70a1a7ac1cf19899e1a0f23c29558f6225db03,,,,,,,,,,,,
A Olioso,https://openalex.org/A4226682424,Unknown,,,,,,https://openalex.org/A4226682420|https://openalex.org/A4226682425|https://openalex.org/A4226682421|https://openalex.org/A4226682429|https://openalex.org/A4226682431|https://openalex.org/A4226682426|https://openalex.org/A4226682422|https://openalex.org/A4226682428|https://openalex.org/A4226682427|https://openalex.org/A4226682419|https://openalex.org/A4226682423|https://openalex.org/A4226682430,aquifer|transboundary,,Groundwater|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer|Environmental science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A4226682424"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2021,US,8f95a1d08aacc416f1abe22426fe9c9fd2f8f338bb7365407f284e3985165d23,,,,,,,,,,,,
A. Alassane,https://openalex.org/A2484425674,Cheikh Anta Diop University,Dakar,,Senegal,14.686944,-17.463333,https://openalex.org/A2434763705|https://openalex.org/A3069707669|https://openalex.org/A2182351332|https://openalex.org/A3051995119,aquifer|transboundary,,Sociology|Population|Water supply|Demography|Groundwater|Water quality|Ecology|Geology|Geotechnical engineering|Groundwater recharge|Hydrology (agriculture)|Environmental engineering|Aquifer|Biology|Environmental science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2484425674"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,f55f8f5c25002f0f2a2e121be602248623f07494d5161a13d399ab12aa746bac,Dakar -17.463333,,,,,,,,,,,
A. Aureli,https://openalex.org/A2422334401,Unknown,,,,,,https://openalex.org/A2304341794|https://openalex.org/A2182540860,aquifer|transboundary,,Karst|Biology|Tourism|Business|Environmental planning|Archaeology|Environmental science|Groundwater|Geotechnical engineering|Water resources|Water resource management|Environmental resource management|Environmental protection|Law|Ecology|Engineering|Multidisciplinary approach|Aquifer|Geography|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2422334401"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,fee72a7c6e6595abd9a1fe8878cb3c9be76652d50b3986c6b1cb4ac610869e76,,,,,,,,,,,,
A. Aureli,https://openalex.org/A3086349667,Unknown,,,,,,https://openalex.org/A3085518772|https://openalex.org/A3085940897|https://openalex.org/A3086175637|https://openalex.org/A3086707070|https://openalex.org/A3216340081|https://openalex.org/A3084770820|https://openalex.org/A3085504345,aquifer|transboundary,,Environmental resource management|Groundwater|Environmental planning|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer|Environmental science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3086349667"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2015,US,bd15eb707485fff043de670a9d011e35d88324f1f4113701f894b92ce4c64d88,,,,,,,,,,,,
A. Aureli,https://openalex.org/A2303042972,Unknown,,,,,,https://openalex.org/A2672093175,aquifer|transboundary,,Resource (disambiguation)|Business|Environmental planning|Environmental science|Computer science|Commission|Legislation|Groundwater|Geotechnical engineering|Computer network|Environmental resource management|Environmental protection|International waters|Mechanical engineering|Law|Work (physics)|Engineering|Aquifer|Geography|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2303042972"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2005,US,,,,,,,,,,,,,
A. Boone,https://openalex.org/A4258343118,Unknown,,,,,,https://openalex.org/A4258343117|https://openalex.org/A4258343119|https://openalex.org/A4258343121|https://openalex.org/A4258343120,aquifer,,Kalman filter|Scale (ratio)|Geology|Environmental engineering|Ocean surface topography|Data assimilation|Business|Meteorology|Extended Kalman filter|Remote sensing|Climatology|Environmental science|Computer science|Satellite|Cartography|Marketing|Ensemble Kalman filter|Geotechnical engineering|Surface water|Artificial intelligence|Aerospace engineering|Engineering|SWOT analysis|Hydrology (agriculture)|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A4258343118"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2014,US,,,,,,,,,,,,,
A. Bouvet,https://openalex.org/A3028307307,Unknown,,,,,,https://openalex.org/A2764761818|https://openalex.org/A3026752127|https://openalex.org/A1920982421|https://openalex.org/A1968190771|https://openalex.org/A3069670802|https://openalex.org/A264822154,aquifer|transboundary,,Groundwater|Environmental planning|Carboniferous|Ecology|Geology|Geotechnical engineering|Hydrology (agriculture)|Water resources|Aquifer|Biology|Environmental science|Geomorphology|Structural basin|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3028307307"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2016,US,1eb35c01ce3dfb38d2b38cf5bf3114f6126901bd49eaf7ef809a3c5795044ed1,,,,,,,,,,,,
A. Croteau,https://openalex.org/A3171835901,Unknown,,,,,,https://openalex.org/A3173321495|https://openalex.org/A3024262188|https://openalex.org/A3183194563|https://openalex.org/A3185956206|https://openalex.org/A3057685151|https://openalex.org/A3177164269|https://openalex.org/A3184425320|https://openalex.org/A3024799289|https://openalex.org/A3174211934,aquifer|transboundary,,Hydrogeology|Groundwater|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3171835901"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2005,US,,,,,,,,,,,,,
A. Dausman,https://openalex.org/A3054625179,Unknown,,,,,,https://openalex.org/A2185994077|https://openalex.org/A2181533410|https://openalex.org/A2187203393|https://openalex.org/A2439860965|https://openalex.org/A2189232989|https://openalex.org/A2439623627|https://openalex.org/A2185578807|https://openalex.org/A2425149541,aquifer|transboundary,,Environmental resource management|Environmental protection|Geography|Groundwater|Environmental planning|Engineering|Resource (disambiguation)|Geotechnical engineering|Computer network|Aquifer|Environmental science|Computer science|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3054625179"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,,,,,,,,,,,,,
