Name,OAID#link#multi,Affiliation#sortquan,City#sortquan,Region#sortquan,Country#sortquan,Latitude#hidden,Longitude#hidden,Collaborators#multi#link#sortquan,Scope#multi#sortquan,Number of Collaborators#number,OA concepts#multi#sortquan,Publications#hidden,Citedness#number,H Index#number,Publication Dates#multi#sortquan,Relevant Publications#number,#img,#netvis
A A Barnes,https://openalex.org/A2639326053,Unknown,,,,,,https://openalex.org/A4334493318|https://openalex.org/A2153184333|https://openalex.org/A2603078087|https://openalex.org/A2579548827|https://openalex.org/A2648239866|https://openalex.org/A2423675094|https://openalex.org/A2466934636|https://openalex.org/A2700418087|https://openalex.org/A2629438255|https://openalex.org/A2292620794|https://openalex.org/A4359975763|https://openalex.org/A2764344154|https://openalex.org/A2242910632|https://openalex.org/A2313711993|https://openalex.org/A2627884716|https://openalex.org/A4341366154,"aqueducts,|water",16,Irrigation|Environmental engineering|Geography|Computer science|Biology|Geomorphology|Inlet|Archaeology|Geology|Electrical engineering|Hydrology (agriculture)|Materials science|Water diversion|Data mining|Water resource management|Cement|Venturi effect|Relation (database)|Voltage|Cementation (geology)|Water supply|Engineering|Mains electricity|Drainage|Cast iron|Ecology|Geotechnical engineering|Metallurgy|Environmental science,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2639326053"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,2,1930|1923|1919,3,un,7457f3b3a81288f5eed70cd0f6c78209f4abddc92b189d9494a3b7334745f1af
A A Fulton,https://openalex.org/A1976700306,University of Melbourne,Melbourne,Victoria,Australia,-37.797115,144.95998,,"aqueducts,|water",0,Philosophy|Structural basin|Economic shortage|Geology|Hydroelectricity|Engineering|Electrical engineering|Water resource management|Fishery|Hydropower|Biology|Government (linguistics)|Civil engineering|Geomorphology|Linguistics|Environmental science|Fish <Actinopterygii>,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A1976700306"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,4,1952,1,AU,
A J Humby,https://openalex.org/A2286251490,Unknown,,,,,,,"aqueducts,|water",0,Irrigation|Paleontology|Geography|Volume (thermodynamics)|Physics|Biology|Ecology|Quantum mechanics|Appendix,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2286251490"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,1904,1,un,
A P I Cotterell,https://openalex.org/A2543560476,Unknown,,,,,,https://openalex.org/A2116949538|https://openalex.org/A2113750402|https://openalex.org/A2660771203|https://openalex.org/A2764344154|https://openalex.org/A4353365616|https://openalex.org/A2977946205|https://openalex.org/A4346778779|https://openalex.org/A2242910632|https://openalex.org/A4349843714|https://openalex.org/A4355472586,"aqueducts,|water",10,Mechanical engineering|Environmental engineering|Water supply|Engineering|Environmental science|Completion (oil and gas wells),"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2543560476"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,0,1927,1,un,1c4967d38bdc44b293a7f0eb6bcde7f32154cd2b974556a30717cdb286f1f3b4
A W Brightmore,https://openalex.org/A2183653964,Unknown,,,,,,https://openalex.org/A2646331407|https://openalex.org/A2152302202|https://openalex.org/A4351435204|https://openalex.org/A2628355558|https://openalex.org/A4353325735|https://openalex.org/A2462974748|https://openalex.org/A2159656500,"aqueducts,|water",7,Geology|Aqueduct|Engineering|Geography|Archaeology,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2183653964"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,1921|1900,2,un,6d3a875f102bfee1957871ec3305a1c4cc2e4c305258be03dbce30e04aa0ea60
A. H. Jameson,https://openalex.org/A2153184333,Unknown,,,,,,https://openalex.org/A2639326053|https://openalex.org/A2603078087|https://openalex.org/A2648239866|https://openalex.org/A2292620794|https://openalex.org/A4359975763|https://openalex.org/A2242910632|https://openalex.org/A2313711993,"aqueducts,|water",7,Venturi effect|Water diversion|Geology|Geography|Water resource management|Drainage|Hydrology (agriculture)|Biology|Ecology|Geotechnical engineering|Geomorphology|Environmental science|Inlet,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2153184333"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,1930,1,un,647d0e3bd94342cf5dae71c45be06f258f2773cad7a90a8a46b7bfd29a37e45e
A. Hachache,https://openalex.org/A2003501426,Unknown,,,,,,https://openalex.org/A4341486809|https://openalex.org/A2496040558,"aqueducts,|water",2,Mediterranean climate|Phoenician|Cartography|Environmental engineering|Geography|Biology|Geomorphology|Archaeology|Geology|Karst|Hydrology (agriculture)|Structural basin|Drainage basin|Water resources|Water resource management|Water supply|Geotechnical engineering|Ecology|Environmental science,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2003501426"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,2002,1,un,8e3c094fea5ccbbfb62a0cf512056137ec37c442df8f04a3cfd20dd07583b00b
A. J. Martin,https://openalex.org/A4357044482,Queen Mary University of London,London,,United Kingdom,51.52428,-0.040395,https://openalex.org/A1980934353|https://openalex.org/A2420022768|https://openalex.org/A3149415077|https://openalex.org/A4354463369|https://openalex.org/A4336693235|https://openalex.org/A4351435204|https://openalex.org/A2657946235|https://openalex.org/A2260522322|https://openalex.org/A2641484545|https://openalex.org/A4357834552|https://openalex.org/A4346778779|https://openalex.org/A4358336685|https://openalex.org/A4349843714|https://openalex.org/A2764421996|https://openalex.org/A2313911395|https://openalex.org/A4340032547|https://openalex.org/A2627156756,"aqueducts,|water",17,Roof|Compensation (psychology)|Geology|Environmental engineering|Water flow|Water supply|Political science|Geography|Water resource management|Hydrology (agriculture)|Psychology|Law|Geotechnical engineering|Legislation|Environmental science|Archaeology|Psychoanalysis,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4357044482"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",1.2857142857142858,80,1907,1,GB,6b8bd7985af1990f0a7fbac062487aef7805e6059e50e5b6d6be2711eed93d54
A. P. Maddocks,https://openalex.org/A2462974748,Unknown,,,,,,https://openalex.org/A2646331407|https://openalex.org/A2152302202|https://openalex.org/A4351435204|https://openalex.org/A2628355558|https://openalex.org/A4353325735|https://openalex.org/A2159656500|https://openalex.org/A2183653964,"aqueducts,|water",7,Archaeology|Geography|Aqueduct,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2462974748"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,1921,1,un,fdde8e2a8a235da6dbea61aa4f76d6c13aaad48796bcb014b90e66435688f196
A. Tacconi,https://openalex.org/A2633104882,Policlinico S.Orsola-Malpighi,Bologna,,Italy,44.492527,11.362128,https://openalex.org/A2096810484|https://openalex.org/A4343822246|https://openalex.org/A4353822788|https://openalex.org/A2245096816|https://openalex.org/A2406767230|https://openalex.org/A4342306891|https://openalex.org/A2601877227,"aqueducts,|water",7,Volcano|Paleontology|Geology|Karst|Geography|Mineral water|Hydrology (agriculture)|Physics|Geochemistry|Geotechnical engineering|Geomorphology|Environmental science|Quantum mechanics|Archaeology|Alluvium|Radon,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2633104882"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,7,1991,1,IT,dc031477af48cff736c061d5ec32ac270ad7298b6c072e5251ff13c5833fb312
